Apellido	Nombre	Genero	Confianza
Agost Carreño	Oscar	M	100
Aguirre	Manuel Ignacio	M	100
Aguirre	Hilda	F	100
Ajmechet	Sabrina	F	100
Alí	Ernesto "Pipi"	M	100
Alianiello	Eugenia	F	100
Allende	Walberto	M	100
Almirón	Lisandro	M	100
Alonso	Constanza María	F	100
Ansaloni	Pablo	M	100
Antola	Marcela	F	100
Arabia	Damián	M	100
Arancibia Rodríguez	Alberto Gustavo	M	100
Araujo	María Fernanda	F	100
Araujo Hernández	Jorge Neri	M	100
Ardohain	Martín	M	100
Arjol	Martín	M	100
Arrieta	Lourdes Micaela	F	100
Arroyo	Daniel	M	100
Arrúa	Alberto	M	100
Aubone	Ana Fabiola	F	100
Aveiro	Martín	M	100
Avico	Belén	F	100
Avila	Fernanda	F	100
Avila	Jorge Antonio	M	100
Bachey	Karina Ethel	F	100
Baldassi	Héctor W.	M	100
Ballejos	Nancy	F	100
Banfi	Karina	F	100
Barletta	Mario	M	100
Basterra	Luis Eugenio	M	100
Benedetti	Atilio	M	99
Benedit	Beltrán	M	100
Benegas Lynch	Bertie	M	100
Bermejo	Adolfo	M	100
Bertoldi	Tanya	F	100
Besana	Gabriela	F	100
Bianchetti	Emmanuel	M	100
Bonacci	Rocío	F	100
Bongiovanni	Alejandro	M	100
Bordet	Gustavo	M	100
Bornoroni	Gabriel	M	100
Borrego	Victoria	F	100
Brambilla	Sofía	F	98
Brouwer De Koning	Gabriela	F	100
Brügge	Juan Fernando	M	100
Cafiero	Santiago	M	100
Calletti	Pamela	F	99
Campagnoli	Marcela	F	100
Campero	Mariano	M	100
Campitelli	Celia	F	100
Capozzi	Sergio Eduardo	M	100
Carbajal	Fernando	M	100
Carignano	Florencia	F	100
Carrizo	Soledad	F	99
Carrizo	Ana Carla	F	100
Carro	Pablo	M	100
Casas	Sergio Guillermo	M	100
Castagneto	Carlos Daniel	M	100
Castillo	Christian	M	100
Cervi	Pablo	M	100
Chaher	Leila	F	100
Chica	Jorge	M	100
Chomiak	María Luisa	F	100
Chumpitaz	Gabriel Felipe	M	100
Cipolini	Gerardo	M	100
Cisneros	Carlos	M	100
Cobos	Julio	M	100
Coletta	Mariela	F	100
Coli	Marcela	F	100
Correa Llano	Facundo	M	100
D'Alessandro	Carlos	M	100
Daives	Ricardo	M	100
de la Sota	Natalia	F	100
de Loredo	Rodrigo	M	100
de Mendieta	Mercedes	F	100
De Sensi	María Florencia	F	100
Diez	Romina	F	100
Domingo	Agustín	M	99
Emma	Nicolás	M	100
Espert	José Luis	M	100
Estévez	Gabriela Beatriz	F	100
Estrada	Emiliano	M	100
Falcone	Eduardo	M	100
Fein	Mónica	F	100
Fernández	Carlos Alberto	M	100
Fernández	Agustin	M	99
Fernández	Elia Marina	F	63
Fernández Molero	Daiana	F	100
Fernández Patri	Ramiro	M	100
Ferraro	Maximiliano	M	100
Ferreyra	Alida	F	100
Figueroa Casas	Germana	F	100
Finocchiaro	Alejandro	M	100
Frade	Mónica	F	100
Freites	Andrea	F	100
Gaillard	Ana Carolina	F	100
García	Carlos	M	100
García Aresca	Ignacio	M	100
Garramuño	Ricardo	M	100
Garrido	José Luis	M	100
Ginocchio	Silvana Micaela	F	100
Giordano	Juan Carlos	M	100
Giorgi	Melina	F	100
Giudici	Silvana	F	100
Giuliano	Diego A.	M	100
Glinski	José	M	100
Gollán	Daniel	M	100
Gomez	José	M	100
González	Gustavo Carlos Miguel	M	100
González	Álvaro	M	100
González	Gerardo Gustavo	M	100
Gutiérrez	Ramiro	M	100
Gutiérrez	Carlos	M	100
Hagman	Itai	M	100
Heller	Carlos	M	100
Herrera	Ricardo	M	100
Herrera	Bernardo José	M	100
Huesen	Gerardo	M	100
Ianni	Ana María	F	100
Ibañez	María Cecilia	F	100
Iglesias	Fernando Adolfo	M	100
Iparraguirre	Rogelio	M	100
Juliano	Pablo	M	100
Kirchner	Máximo Carlos	M	100
Klipauka Lewtak	Florencia	F	100
Laspina	Luciano Andrés	M	100
Ledesma	Tomás	M	100
Leiva	Aldo	M	100
Lemoine	Lilia	F	100
Litza	Mónica	F	100
Llancafilo	Osvaldo	M	100
Llano	Mercedes	F	100
López	Juan Manuel	M	100
López Murphy	Ricardo Hipólito	M	100
López Rodríguez	Dante	M	99
Lospennato	Silvia	F	100
Macha	Mónica	F	100
Macyszyn	Lorena	F	100
Manes	Facundo	M	100
Manrique	Mario	M	100
Maquieyra	Martín	M	100
Marín	Varinia Lis	F	100
Marino	Juan	M	100
Márquez	Nadia	F	100
Martínez	Álvaro	M	100
Martínez	Germán Pedro	M	100
Marziotta	Gisela	F	100
Massot	Nicolás	M	100
Mastaler	Magalí	F	99
Mayoraz	Nicolás	M	100
Medina	Gladys	F	100
Menem	Martín	M	100
Milman	Gerardo	M	100
Mirabella	Roberto	M	100
Molle	Matías	M	100
Montenegro	Guillermo	M	100
Monti	Francisco	M	100
Montoto	María Luisa	F	100
Monzó	Emilio	M	100
Monzón	Roxana	F	100
Moran	Micaela	F	100
Morchio	Francisco	M	100
Moreau	Leopoldo	M	100
Moreau	Cecilia	F	100
Moreno	María De Los Ángeles	F	100
Moreno Ovalle	Julio	M	100
Moyano	Nilda	F	99
Neder	Estela Mary	F	100
Nieri	Lisandro	M	100
