Código Provincia	Código Departamento	Departamento	Código Localidad	Localidad
02	02007	Comuna 1	02007010	Ciudad de Buenos Aires
02	02014	Comuna 2	02014010	Ciudad de Buenos Aires
02	02021	Comuna 3	02021010	Ciudad de Buenos Aires
02	02028	Comuna 4	02028010	Ciudad de Buenos Aires
02	02035	Comuna 5	02035010	Ciudad de Buenos Aires
02	02042	Comuna 6	02042010	Ciudad de Buenos Aires
02	02049	Comuna 7	02049010	Ciudad de Buenos Aires
02	02056	Comuna 8	02056010	Ciudad de Buenos Aires
02	02063	Comuna 9	02063010	Ciudad de Buenos Aires
02	02070	Comuna 10	02070010	Ciudad de Buenos Aires
02	02077	Comuna 11	02077010	Ciudad de Buenos Aires
02	02084	Comuna 12	02084010	Ciudad de Buenos Aires
02	02091	Comuna 13	02091010	Ciudad de Buenos Aires
02	02098	Comuna 14	02098010	Ciudad de Buenos Aires
02	02105	Comuna 15	02105010	Ciudad de Buenos Aires
06	06028	Almirante Brown	06028010	Almirante Brown
06	06035	Avellaneda	06035010	Avellaneda
06	06091	Berazategui	06091010	Berazategui
06	06098	Berisso	06098010	Berisso
06	06119	Brandsen	06119010	Altamirano
06	06119	Brandsen	06119015	Barrio El Mirador
06	06119	Brandsen	06119020	Barrio Las Golondrinas
06	06119	Brandsen	06119030	Barrio Los Bosquecitos
06	06119	Brandsen	06119040	Barrio Parque Las Acacias
06	06119	Brandsen	06119045	Campos de Roca - Posada de Los Lagos
06	06119	Brandsen	06119050	Brandsen
06	06119	Brandsen	06119060	Gómez
06	06119	Brandsen	06119070	Jeppener
06	06119	Brandsen	06119080	Oliden
06	06126	Campana	06126020	Barrio Los Pioneros (Barrio Tavella)
06	06126	Campana	06126030	Campana
06	06134	Cañuelas	06134020	Barrio El Taladro
06	06134	Cañuelas	06134030	Cañuelas
06	06134	Cañuelas	06134040	Gobernador Udaondo
06	06134	Cañuelas	06134050	Máximo Paz
06	06134	Cañuelas	06134060	Barrio San Esteban - Barrio Los Pozos
06	06134	Cañuelas	06134070	Uribelarrea
06	06134	Cañuelas	06134100	Chacras de La Trinidad
06	06245	Ensenada	06245010	Ensenada
06	06252	Escobar	06252010	Escobar
06	06252	Escobar	06252020	Paraná de las Palmas
06	06260	Esteban Echeverría	06260010	Esteban Echeverría
06	06266	Exaltación de la Cruz	06266020	Capilla del Señor
06	06266	Exaltación de la Cruz	06266030	Diego Gaynor
06	06266	Exaltación de la Cruz	06266040	Los Cardales
06	06266	Exaltación de la Cruz	06266060	Pavón - Barrio El Remanso - Barrio Los Pinos
06	06266	Exaltación de la Cruz	06266120	El Chajá
06	06266	Exaltación de la Cruz	06266130	El Malacate
06	06266	Exaltación de la Cruz	06266140	La Macarena
06	06266	Exaltación de la Cruz	06266150	Las Vizcachas
06	06266	Exaltación de la Cruz	06266160	Torres
06	06270	Ezeiza	06270010	Ezeiza
06	06274	Florencio Varela	06274010	Florencio Varela
06	06364	General Rodríguez	06364005	Aero Country Club
06	06364	General Rodríguez	06364015	Barrio Ruta 24 Km 23,5
06	06364	General Rodríguez	06364030	General Rodríguez
06	06371	General San Martín	06371010	General San Martín
06	06408	Hurlingham	06408010	Hurlingham
06	06410	Ituzaingó	06410010	Ituzaingó
06	06412	José C. Paz	06412010	José C. Paz
06	06427	La Matanza	06427010	La Matanza
06	06441	La Plata	06441030	La Plata
06	06441	La Plata	06441060	Martín García
06	06434	Lanús	06434010	Lanús
06	06490	Lomas de Zamora	06490010	Lomas de Zamora
06	06497	Luján	06497020	Carlos Keen
06	06497	Luján	06497025	Club de Campo Los Puentes
06	06497	Luján	06497060	Luján
06	06497	Luján	06497070	Olivera
06	06497	Luján	06497100	La Catalina
06	06497	Luján	06497120	Estancia Las Lilas
06	06497	Luján	06497110	Loma Escondida
06	06497	Luján	06497090	Torres
06	06515	Malvinas Argentinas	06515010	Malvinas Argentinas
06	06525	Marcos Paz	06525005	Barrio Lisandro de La Torre y Santa Marta
06	06525	Marcos Paz	06525010	Barrio Santa Rosa
06	06525	Marcos Paz	06525030	Villars
06	06525	Marcos Paz	06525020	Marcos Paz
06	06539	Merlo	06539010	Merlo
06	06560	Moreno	06560010	Moreno
06	06568	Morón	06568010	Morón
06	06638	Pilar	06638040	Pilar
06	06648	Presidente Perón	06648010	Presidente Perón
06	06658	Quilmes	06658010	Quilmes
06	06749	San Fernando	06749010	San Fernando
06	06756	San Isidro	06756010	San Isidro
06	06760	San Miguel	06760010	San Miguel
06	06778	San Vicente	06778010	Domselaar
06	06778	San Vicente	06778015	El Lauquen - Principado
06	06778	San Vicente	06778020	San Vicente
06	06778	San Vicente	06778030	Santa Rita - San Lucas
06	06805	Tigre	06805010	Tigre
06	06840	Tres de Febrero	06840010	Tres de Febrero
06	06861	Vicente López	06861010	Vicente López
06	06882	Zárate	06882040	Lima
06	06882	Zárate	06882050	Zárate
06	06882	Zárate	06882060	Barrio El Mangrullo
06	06882	Zárate	06882070	Chacras de Olivia
06	06882	Zárate	06882080	Chacras del Paraná
06	06882	Zárate	06882090	Puente Urquiza
06	06882	Zárate	06882100	Puerto Panal
06	06882	Zárate	06882110	Ruta 9 Km 107
06	06882	Zárate	06882120	Acceso a Lima
06	06007	Adolfo Alsina	06007010	Carhué
06	06007	Adolfo Alsina	06007020	Colonia San Miguel Arcángel
06	06007	Adolfo Alsina	06007030	Delfín Huergo
06	06007	Adolfo Alsina	06007040	Espartillar
06	06007	Adolfo Alsina	06007050	Esteban Agustín Gascón - Villa Margarita
06	06007	Adolfo Alsina	06007060	La Pala
06	06007	Adolfo Alsina	06007095	Leubucó
06	06007	Adolfo Alsina	06007070	Maza
06	06007	Adolfo Alsina	06007080	Rivera
06	06007	Adolfo Alsina	06007110	Yutuyaco
06	06014	Adolfo Gonzales Chaves	06014010	Adolfo Gonzales Chaves
06	06014	Adolfo Gonzales Chaves	06014020	De La Garma
