Localidad	Derivado		Boca de expendio					Dirección			Bandera		Precio sin impuesto	Precio final	Volumen informado (m3)		Exento
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					J. B. Justo 8005 (esq. Lope De Vega)			AXION		1.568,02	2.189,00	30,00		NO
CAPITAL FEDERAL	Gas Oil Grado 2		AUTOMOVIL CLUB ARGENTINO					FRANCISCO BEIRO 3561			YPF		1.499,26	2.093,00	22,63		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PROINCO SA					AV. LA PLATA 901			YPF		1.408,03	2.103,00	132,74		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Cruz 1501 (esq. Centenera)			AXION		1.568,02	2.189,00	34,99		NO
CAPITAL FEDERAL	Gas Oil Grado 2		TERGEN SRL					Directorio 2578			YPF		1.499,22	2.112,00	52,59		NO
CAPITAL FEDERAL	Gas Oil Grado 2		LA QUINTA ESTACION S.R.L.					AV.GRAL.MOSCONI 3289			YPF		1.496,94	2.116,00	26,73		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DEHEZA S.A.I.C.F.I.					AV. CRAMER 1691			SHELL C.A.P.S.A.		1.574,97	2.199,00	5,18		NO
CAPITAL FEDERAL	Gas Oil Grado 2		WHITE S.R.L.					AV. DIRECTORIO 4586			GULF		1.632,79	2.265,00	70,13		NO
CAPITAL FEDERAL	Gas Oil Grado 2		CHICLANA 3827 SRL					CHICLANA 3827			BLANCA		1.891,33	2.299,00	1,45		NO
CAPITAL FEDERAL	Gas Oil Grado 2		SUCESORES DE LOPEZ ALDAO Y CIA. S.R. L.					AV. SAN MARTI­N 7001			YPF		1.501,46	2.111,00	39,04		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DEHEZA S.A.I.C.F.I.					AV. CABILDO 4701			SHELL C.A.P.S.A.		1.574,97	2.199,00	15,00		NO
CAPITAL FEDERAL	Gas Oil Grado 2		LAFUENTE COMBUSTIBLESS.R.L.					AVDA. RABANAL 2999			BLANCA		1.793,20	2.445,00	19,60		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PERFORMANCE FUELS SRL					AV BEIRO 4610			SHELL C.A.P.S.A.		1.538,84	2.199,00	18,66		NO
CAPITAL FEDERAL	Gas Oil Grado 2		RERIFE S.A.					AV. JUAN BAUTISTA ALBERDI 100			YPF		1.499,04	2.112,00	25,59		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Rivadavia 8201/31 (esq. Joaquin V. Gonzalez)			AXION		1.568,02	2.189,00	15,59		NO
CAPITAL FEDERAL	Gas Oil Grado 2		NUESTRO SOSIEGO SA					DONATO ALVAREZ 2290			YPF		1.496,70	2.101,00	69,01		NO
CAPITAL FEDERAL	Gas Oil Grado 2		AUTOMOVIL CLUB ARGENTINO					AV. CABILDO 1499			YPF		1.510,29	2.112,00	16,51		NO
CAPITAL FEDERAL	Gas Oil Grado 2		SOLMAY S.R.L					AV. JUAN BAUTISTA ALBERDI 4402			YPF		1.497,98	2.122,00	51,30		NO
